,nodes count,HW Availability class,HW Availability,SW Availability class,failure function,Overall availability
0,2,4,3.698991719603157,4,identity,3.3980051533874995
1,2,4,3.698991719603157,4,n,3.522918556709091
2,2,4,3.698991719603157,4,square_root_n,3.466759107429444
3,2,4,3.698991719603157,4,n_squared,3.6020893070868665
4,2,4,3.698991719603157,4,n_log_n,3.2740338031028324
5,2,4,3.698991719603157,5,identity,3.6576051539638748
6,2,4,3.698991719603157,5,n,3.677805470901594
7,2,4,3.698991719603157,5,square_root_n,3.6693239052440267
8,2,4,3.698991719603157,5,n_squared,3.688269376875496
9,2,4,3.698991719603157,5,n_log_n,3.6322674646776627
10,2,4,3.698991719603157,6,identity,3.6946709929515866
11,2,4,3.698991719603157,6,n,3.6968259814012354
12,2,4,3.698991719603157,6,square_root_n,3.6959320579032977
13,2,4,3.698991719603157,6,n_squared,3.6979075000854427
14,2,4,3.698991719603157,6,n_log_n,3.6918385707244434
15,2,5,4.698972175816013,4,identity,3.6576051539643135
16,2,5,4.698972175816013,4,n,3.9208173064526184
17,2,5,4.698972175816013,4,square_root_n,3.792049195425085
18,2,5,4.698972175816013,4,n_squared,4.154889395843579
19,2,5,4.698972175816013,4,n_log_n,3.4532889233922384
20,2,5,4.698972175816013,5,identity,4.397946523097245
21,2,5,4.698972175816013,5,n,4.5228827263239975
22,2,5,4.698972175816013,5,square_root_n,4.466714295799191
23,2,5,4.698972175816013,5,n_squared,4.6020629228230066
24,2,5,4.698972175816013,5,n_log_n,4.273941278351954
25,2,5,4.698972175816013,6,identity,4.657580102615599
26,2,5,4.698972175816013,6,n,4.677783181782164
27,2,5,4.698972175816013,6,square_root_n,4.6693004738905435
28,2,5,4.698972175816013,6,n_squared,4.688248462690806
29,2,5,4.698972175816013,6,n_log_n,4.632238739613393
30,2,6,5.698970221466022,4,identity,3.694670992952064
31,2,6,5.698970221466022,4,n,3.991390039712983
32,2,6,5.698970221466022,4,square_root_n,3.8433896327241137
33,2,6,5.698970221466022,4,n_squared,4.283971399691958
34,2,6,5.698970221466022,4,n_log_n,3.4760681465280396
35,2,6,5.698970221466022,5,identity,4.657580102615599
36,2,6,5.698970221466022,5,n,4.920818609182304
37,2,6,5.698970221466022,5,square_root_n,4.792040026826274
38,2,6,5.698970221466022,5,n_squared,5.154900703614809
39,2,6,5.698970221466022,5,n_log_n,4.453226456031604
40,2,6,5.698970221466022,6,identity,5.397940660099404
41,2,6,5.698970221466022,6,n,5.52287914334241
42,2,6,5.698970221466022,6,square_root_n,5.466709814717847
43,2,6,5.698970221466022,6,n_squared,5.602060284442193
44,2,6,5.698970221466022,6,n_log_n,5.273932025593714
45,3,4,3.5229221754523286,4,identity,3.2219573223320106
46,3,4,3.5229221754523286,4,n,3.398001534784047
47,3,4,3.5229221754523286,4,square_root_n,3.3250282830536846
48,3,4,3.5229221754523286,4,n_squared,3.4771699930944644
49,3,4,3.5229221754523286,4,n_log_n,3.292865074380715
50,3,4,3.5229221754523286,5,identity,3.4815377811065007
51,3,4,3.5229221754523286,5,n,3.5086844914645123
52,3,4,3.5229221754523286,5,square_root_n,3.498550066797704
53,3,4,3.5229221754523286,5,n_squared,3.518124209921501
54,3,4,3.5229221754523286,5,n_log_n,3.49359961212917
55,3,4,3.5229221754523286,6,identity,3.5186016659300408
56,3,4,3.5229221754523286,6,n,3.5214772226554834
57,3,4,3.5229221754523286,6,square_root_n,3.520422484564138
58,3,4,3.5229221754523286,6,n_squared,3.5224399899373693
59,3,4,3.5229221754523286,6,n_log_n,3.5198991981242034
60,3,5,4.522883088234742,4,identity,3.4815377811069395
61,3,5,4.522883088234742,4,n,3.8860565364425486
62,3,5,4.522883088234742,4,square_root_n,3.692082911516908
63,3,5,4.522883088234742,4,n_squared,4.198358789280564
64,3,5,4.522883088234742,4,n_log_n,3.6205577539434195
65,3,5,4.522883088234742,5,identity,4.221859606971542
66,3,5,4.522883088234742,5,n,4.397946161194334
67,3,5,4.522883088234742,5,square_root_n,4.324958369167583
68,3,5,4.522883088234742,5,n_squared,4.477126128483628
69,3,5,4.522883088234742,5,n_log_n,4.292787448966378
70,3,5,4.522883088234742,6,identity,4.48149123218075
71,3,5,4.522883088234742,6,n,4.508642924639108
72,3,5,4.522883088234742,6,square_root_n,4.498506679745965
73,3,5,4.522883088234742,6,n_squared,4.5180842970895245
74,3,5,4.522883088234742,6,n_log_n,4.493555318889193
75,3,6,5.522879179569013,4,identity,3.518601665930518
76,3,6,5.522879179569013,4,n,3.987149998114045
77,3,6,5.522879179569013,4,square_root_n,3.7539894663135547
78,3,6,5.522879179569013,4,n_squared,4.4396649972630895
79,3,6,5.522879179569013,4,n_log_n,3.6724748005456194
80,3,6,5.522879179569013,5,identity,4.48149123218075
81,3,6,5.522879179569013,5,n,4.8860566365723646
82,3,6,5.522879179569013,5,square_root_n,4.692067184866534
83,3,6,5.522879179569013,5,n_squared,5.1983667674114225
84,3,6,5.522879179569013,5,n_log_n,4.620533422378405
85,3,6,5.522879179569013,6,identity,5.2218498353495555
86,3,6,5.522879179569013,6,n,5.397940623925017
87,3,6,5.522879179569013,6,square_root_n,5.324951377858836
88,3,6,5.522879179569013,6,n_squared,5.477121742083371
89,3,6,5.522879179569013,6,n_log_n,5.292779686482876
90,4,4,3.398005153387138,4,identity,3.0970620122762282
91,4,4,3.398005153387138,4,n,3.3011135979613324
92,4,4,3.398005153387138,4,square_root_n,3.221953704131308
93,4,4,3.398005153387138,4,n_squared,3.371680445902471
94,4,4,3.398005153387138,4,n_log_n,3.2472070895063263
95,4,4,3.398005153387138,5,identity,3.35662293025852
96,4,4,3.398005153387138,5,n,3.3872838962951817
97,4,4,3.398005153387138,5,square_root_n,3.3768210759517143
98,4,4,3.398005153387138,5,n_squared,3.395299911593892
99,4,4,3.398005153387138,5,n_log_n,3.380340164358478
100,4,4,3.398005153387138,6,identity,3.393684860986636
101,4,4,3.398005153387138,6,n,3.3969210424324414
102,4,4,3.398005153387138,6,square_root_n,3.395839632310904
103,4,4,3.398005153387138,6,n_squared,3.39773387170781
104,4,4,3.398005153387138,6,n_log_n,3.396205967441102
105,4,5,4.397946523097245,4,identity,3.3566229302589585
106,4,5,4.397946523097245,4,n,3.8538746011925564
